Dimensão;Documento/Sistema;Acronimo;Descrição;Responsável;Esfera;Link do Sistema;Entrada de Dados;Saída de Dados;Relação com Rede Nacional de Dados de Transporte;
1. Tráfego em Tempo Real;Alerta Brasil;;Sistema de monitoramento de fluxo de veículos nas rodovias federais por meio de câmeras com leitura automática de placas (LPR/OCR), integrando RENAVAM, RENACH e BNMP para detecção de veículos roubados e condutores foragidos.;PRF (Polícia Rodoviária Federal);Federal;https://alertabrasil.prf.gov.br/alertabrasil/;RENAVAM,RENACH,RENAINF,BNMP,câmeras CET-SP,câmeras CTTU-Recife,SINESP,RENAEST,Sistema de Rastreamento Veicular ANTT,InfraBR,Postos de Pesagem DNIT,Free Flow,Sistema de Fiscalização Eletrônica,Sealog;SINESP,RENAEST,Sistema de Rastreamento Veicular ANTT,InfraBR,Google Maps,Waze,TMS,ERP,seguradoras,SENATRAN;"Principal sistema de inteligência viária do país; integra dados de RENAVAM, RENACH e mais de 200 parceiros. Cruzamento com dados de CT-e/MDF-e permitiria identificação automática de cargas em risco de roubo em tempo real.";
1. Tráfego em Tempo Real;SINESP;Sistema Nacional de Informações de Segurança Pública;Maior plataforma tecnológica de segurança pública do Brasil, integrando dados de roubo/furto de veículos, mandados de prisão, desaparecidos, boletins de ocorrência e estatísticas criminais de todos os estados.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Alerta Brasil,RENAEST,SINESP PPE,SINESP VDE,DETRANs estaduais,Polícia Civil estadual,Polícia Federal,Sistema de Rastreamento Veicular ANTT,TMS;Alerta Brasil,SINESP Cidadão,SINESP Integração,SINESP VDE,governos estaduais e municipais,seguradoras,TMS,ERP;"Base nacional de dados criminais que inclui roubo de carga como indicador estratégico; integração com sistemas de rastreamento de cargas (TMS, ANTT) permitiria alertas proativos de rotas de risco.";
1. Tráfego em Tempo Real;SINESP Cidadão;;Aplicativo do SINESP que permite ao cidadão consultar restrições de roubo/furto de veículos, mandados de prisão e desaparecidos. Já ajudou a recuperar mais de 168 mil veículos roubados.;Senasp (Secretaria Nacional de Segurança Pública, MJSP) e Serpro;Federal;https://www.gov.br/pt-br/apps/sinesp-cidadao;SINESP,Alerta Brasil,RENAEST;Cidadãos,aplicativos de mobilidade,TMS,ERP;"Ferramenta de consulta pública que democratiza acesso a dados de segurança; integração com apps de logística (TMS, Waze) permitiria validação de veículos antes da contratação de frete.";
1. Tráfego em Tempo Real;RENAEST;Registro Nacional de Acidentes e Estatísticas de Trânsito;Sistema de registro, gestão e controle de dados estatísticos sobre acidentalidade no trânsito, integrado ao RENAVAM, RENACH e RENAINF. Novo modelo (2024) prevê coleta por aplicativo de fiscalização da SENATRAN.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/noticias/2024/03/novo-modelo-para-o-registro-nacional-de-estatisticas-e-sinistros-de-transito-entra-em-fase-de-testes;RENAVAM,RENACH,RENAINF,Alerta Brasil,Sistema de Fiscalização Eletrônica,DETRANs estaduais,PRF,SINESP,CT-e,MDF-e;SENATRAN,DNIT,ANTT,Alerta Brasil,SINESP,seguradoras,TMS,ERP,sistemas de planejamento urbano;"Base nacional de sinistros de trânsito com dados incompletos (22% dos campos não informados); integração com dados de CT-e/MDF-e permitiria correlação entre padrões de acidentes e rotas de transporte de cargas.";
1. Tráfego em Tempo Real;SINESP VDE;;Sistema para coleta, consolidação e validação de 28 indicadores de segurança pública (incluindo roubo de carga), com dados informados pelos estados em até 30 dias.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Estados (28 indicadores de segurança pública),SINESP PPE;SINESP,SINESP Integração,governos estaduais e municipais,Alerta Brasil;"Consolida indicadores de roubo de carga e morte no trânsito; integração com sistemas de transporte permitiria análise preditiva de risco por corredor logístico.";
1. Tráfego em Tempo Real;SINESP Integração;;Solução para consolidação de dados de múltiplas fontes (Sinesp e outros sistemas) em uma única Base Nacional, permitindo análise de microdados e produção de estatísticas.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;SINESP,SINESP VDE,SINESP PPE,outros sistemas de segurança pública;SINESP,governos estaduais e municipais,pesquisadores,Alerta Brasil;Base consolidada de microdados criminais que poderia ser cruzada com dados de fluxo de cargas para mapeamento de áreas de risco.;
1. Tráfego em Tempo Real;SINESP PPE;;Boletim Nacional de Ocorrências Policiais em formato eletrônico, com coleta integral de dados em tempo real a partir de 2014.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Polícias estaduais e federais,delegacias;SINESP,SINESP VDE,SINESP Integração,Alerta Brasil,governos estaduais;"Fonte primária de dados de ocorrências policiais; integração com sistemas de transporte permitiria identificação de padrões de criminalidade em rotas logísticas.";
3. Infraestrutura Viária;CNH do Brasil;Carteira Nacional de Habilitação;Plataforma digital unificada que substitui a CDT, permitindo acesso à CNH digital, solicitação de primeira habilitação e consulta de pontuação pelo aplicativo.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/cnh-do-brasil;RENACH,RENAINF,RENAEST,DETRANs estaduais,SENATRAN;Alerta Brasil,InfraBR,CT-e,MDF-e,RNTRC,TMS,ERP,MOPP,SEST/SENAT;Base digital nacional de habilitação que deveria ser integrada ao RNTRC e ao validador CT-e para verificação automática de qualificação do motorista.;
3. Infraestrutura Viária;RENACH;Registro Nacional de Carteiras de Habilitação;Base nacional de dados de condutores habilitados, integrada ao RENAEST e ao Alerta Brasil.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/renach;DETRANs estaduais,CNH do Brasil,SENATRAN,MOPP,SEST/SENAT;Alerta Brasil,RENAEST,RENAINF,CT-e,MDF-e,RNTRC,TMS,ERP,InfraBR;Base cadastral de condutores que deveria ser consultada em tempo real para validação de MOPP e outras qualificações no CT-e.;
3. Infraestrutura Viária;RENAINF;Registro Nacional de Infrações;Base nacional de infrações de trânsito, integrada ao RENAEST e ao Alerta Brasil.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/renainf;Sistema de Fiscalização Eletrônica,DETRANs estaduais,PRF,Alerta Brasil;RENACH,RENAEST,Alerta Brasil,SINESP,seguradoras,TMS,ERP;Dados de infrações que poderiam ser usados para precificação de seguros e avaliação de risco de condutores em operações de transporte.;
